"AggregationMinutes","Preprocessing","Minutes","Hours","MAE_Train","MAE_Test","RMSE_Train","RMSE_Test","MAPE_Train","MAPE_Test","R_Squared","EVS","ExecutionTime"
15,"No",720,12,663.627616027503,4853.86082059299,889.694707244448,4886.37241765607,21.6790125916298,45910.636419443,-1,0,15601.6871550083
15,"No",1440,24,785.369094071522,4240.90489336589,1056.74065640087,4298.31786064405,29.0968128735273,40310.3751424677,-1,0,15601.6871550083
15,"No",2160,36,559.000105175021,5208.67428406502,714.591230405839,5315.86010502305,21.2035603849097,49589.9064910796,-1,0,15601.6871550083
15,"No",2880,48,569.553103794946,4539.96901117393,781.147396987777,4665.88158015774,23.7979852385274,42954.999791697,-1,0,15601.6871550083
15,"No",4320,72,523.335761723367,4454.75540092712,738.628961022036,4644.15044072433,18.5551588501406,42110.6214433836,-1,0,15601.6871550083
30,"Yes",60,1,1.2341612796303,3.44697387039491,2.0107636321874,4.9100076426024,10.0695824569636,26.6580668535301,0.733677126672675,0.73413995530522,4099.83266997337
30,"Yes",120,2,1.40859755711179,4.81508097693128,2.23301299390063,6.51550625087004,11.1992228563542,37.9807657084269,0.531034965904876,0.533347406023941,4099.83266997337
30,"Yes",180,3,1.39204220850016,5.61531714955784,2.2477771472425,7.55285797553092,11.0308866991687,44.4110888112866,0.36981687711088,0.37070262769721,4099.83266997337
30,"Yes",360,6,1.36901015686663,7.29228453558119,2.18496127368392,9.87041203755984,11.7766913788704,58.8563950732214,-0.076253796856359,0,4099.83266997337
30,"Yes",720,12,1.49340050003717,7.99126731898083,2.36628306918874,10.7318215974474,11.1748926638533,69.0845387330584,-0.272304374664785,0,4099.83266997337
30,"Yes",1440,24,1.50246779588418,8.61489781433274,2.34345114545236,11.7125636544609,11.5590796815316,75.0675908315248,-0.515472499408189,0,4099.83266997337
30,"Yes",2160,36,1.24785244382298,10.7695014598831,2.05413249731828,14.0967314343437,10.2841908079731,99.5894736461691,-1,0,4099.83266997337
30,"Yes",2880,48,1.34632949959355,11.1275347207071,2.2221335396877,14.164878265522,10.7434385612547,98.4924303014525,-1,0,4099.83266997337
30,"Yes",4320,72,1.37980242216202,10.4842541043502,2.25372216188828,13.2695479880033,10.8084412235403,93.2557620824859,-0.945164747709103,0,4099.83266997337
30,"No",60,1,335.584353063548,1683.60835286439,455.105280177611,1844.85573269453,21.8984432225907,15480.2213962542,-1,0,12944.3365819454
30,"No",120,2,445.605261910669,1843.84233232394,608.164390508604,1878.75810539092,42.4695330457622,17094.4279034019,-1,0,12944.3365819454
30,"No",180,3,410.937039890141,1923.27945480002,592.658727394169,1926.44762138002,23.3182787053409,18050.9990736378,-1,0,12944.3365819454
